Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     14.13     0.00      222     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<36>::Block*, 10>::EnsureCapacity(int)
  0.00     14.13     0.00      222     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<36>::Block*, 10>::Push(tinyxml2::MemPoolT<36>::Block*)
  0.00     14.13     0.00      222     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<36>::Block*, 10>::operator[](int)
  0.00     14.13     0.00        6     0.00     0.00  tinyxml2::XMLUtil::IsNameStartChar(unsigned char)
  0.00     14.13     0.00        5     0.00     0.00  tinyxml2::XMLUtil::IsUTF8Continuation(char)
  0.00     14.13     0.00        4     0.00     0.00  tinyxml2::MemPool::MemPool()
  0.00     14.13     0.00        4     0.00     0.00  tinyxml2::MemPool::~MemPool()
  0.00     14.13     0.00        4     0.00     0.00  tinyxml2::XMLUtil::IsNameChar(unsigned char)
  0.00     14.13     0.00        4     0.00     0.00  tinyxml2::XMLUtil::SkipWhiteSpace(char*)
  0.00     14.13     0.00        4     0.00     0.00  tinyxml2::StrPair::Empty() const
  0.00     14.13     0.00        3     0.00     0.00  tinyxml2::XMLNode::ToElement()
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::XMLPrinter::SealElement()
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::XMLPrinter::XMLPrinter(_iobuf*, bool, int)
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::XMLPrinter::~XMLPrinter()
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::XMLVisitor::XMLVisitor()
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::XMLVisitor::~XMLVisitor()
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::XMLDocument::Identify(char*, tinyxml2::XMLNode**)
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::StrPair::Set(char*, char*, int)
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::DynArray<char const*, 10>::DynArray()
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::DynArray<char const*, 10>::~DynArray()
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::DynArray<char, 20>::Push(char)
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::DynArray<char, 20>::DynArray()
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::DynArray<char, 20>::~DynArray()
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::XMLElement::ClosingType() const
  0.00     14.13     0.00        2     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<44>::Block*, 10>::Size() const
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLElement::ParseAttributes(char*)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLElement::ParseDeep(char*, tinyxml2::StrPair*)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLPrinter::VisitEnter(tinyxml2::XMLDocument const&)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLPrinter::PushDeclaration(char const*)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLPrinter::Visit(tinyxml2::XMLDeclaration const&)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLPrinter::VisitExit(tinyxml2::XMLDocument const&)
  0.00     14.13     0.00        1     0.00     0.53  tinyxml2::XMLDocument::RootElement()
  0.00     14.13     0.00        1     0.00     0.01  tinyxml2::XMLDocument::Clear()
  0.00     14.13     0.00        1     0.00    15.01  tinyxml2::XMLDocument::Parse(char const*, unsigned int)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLDocument::XMLDocument(bool, tinyxml2::Whitespace)
  0.00     14.13     0.00        1     0.00     0.02  tinyxml2::XMLDocument::~XMLDocument()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLDeclaration::ParseDeep(char*, tinyxml2::StrPair*)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLDeclaration::XMLDeclaration(tinyxml2::XMLDocument*)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLDeclaration::~XMLDeclaration()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::StrPair::ParseName(char*)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::StrPair::ParseText(char*, char const*, int)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLNode::ParseDeep(char*, tinyxml2::StrPair*)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::XMLUtil::SkipWhiteSpace(char const*)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<36>::Block*, 10>::DynArray()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<36>::Block*, 10>::~DynArray()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<44>::Block*, 10>::EnsureCapacity(int)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<44>::Block*, 10>::Push(tinyxml2::MemPoolT<44>::Block*)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<44>::Block*, 10>::DynArray()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<44>::Block*, 10>::~DynArray()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<44>::Block*, 10>::operator[](int)
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<48>::Block*, 10>::DynArray()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<48>::Block*, 10>::~DynArray()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<52>::Block*, 10>::DynArray()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<52>::Block*, 10>::~DynArray()
  0.00     14.13     0.00        1     0.00     0.00  tinyxml2::MemPoolT<36>::MemPoolT()
